period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2025-01,GA,Georgia,COM,commercial,624643,12.17,556.09443,4569.85207,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,GA,Georgia,IND,industrial,23944,8.85,235.25265,2658.52053,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,GA,Georgia,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,GA,Georgia,RES,residential,4835723,13.52,921.94254,6820.07102,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,GA,Georgia,TRA,transportation,1,6.78,1.03232,15.21531,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,HI,Hawaii,ALL,all sectors,508039,36.55,274.76653,751.79585,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,HI,Hawaii,COM,commercial,59732,37.54,84.12541,224.08061,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,HI,Hawaii,IND,industrial,828,32.47,93.39159,287.66877,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,HI,Hawaii,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,HI,Hawaii,RES,residential,447479,40.51,97.24953,240.04647,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,HI,Hawaii,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IA,Iowa,ALL,all sectors,1733371,9.04,471.85414,5220.8624,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IA,Iowa,COM,commercial,254037,10.12,121.09146,1197.10103,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IA,Iowa,IND,industrial,9311,6.47,155.65102,2404.86873,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IA,Iowa,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IA,Iowa,RES,residential,1470023,12.05,195.11166,1618.89264,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IA,Iowa,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ID,Idaho,ALL,all sectors,1032303,9.23,218.427,2367.54256,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ID,Idaho,COM,commercial,124677,8.91,56.43756,633.26554,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ID,Idaho,IND,industrial,29508,6.65,40.83472,614.44005,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ID,Idaho,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ID,Idaho,RES,residential,878118,10.82,121.15472,1119.83697,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ID,Idaho,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IL,Illinois,ALL,all sectors,6006716,12.78,1568.45069,12277.31778,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IL,Illinois,COM,commercial,635004,11.87,488.46562,4114.18603,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IL,Illinois,IND,industrial,5678,10.11,365.09899,3610.62468,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IL,Illinois,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IL,Illinois,RES,residential,5366031,15.82,708.09183,4477.29241,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IL,Illinois,TRA,transportation,3,9.03,6.79425,75.21467,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IN,Indiana,ALL,all sectors,3397832,11.81,1113.24983,9426.23664,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IN,Indiana,COM,commercial,375072,12.9,269.2037,2086.40903,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IN,Indiana,IND,industrial,18741,8.12,287.17733,3537.26345,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IN,Indiana,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IN,Indiana,RES,residential,3004018,14.65,556.57401,3800.34391,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,IN,Indiana,TRA,transportation,1,13.28,.29479,2.22025,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,KS,Kansas,ALL,all sectors,1615351,10.94,395.89099,3618.76592,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,KS,Kansas,COM,commercial,251409,10.57,139.9936,1324.44674,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,KS,Kansas,IND,industrial,23832,7.87,71.90777,913.26841,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,KS,Kansas,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,KS,Kansas,RES,residential,1340110,13.32,183.98962,1381.05076,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,KS,Kansas,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,KY,Kentucky,ALL,all sectors,2352458,10.46,765.18398,7312.93898,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,KY,Kentucky,COM,commercial,328328,11.3,207.54623,1836.56356,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,KY,Kentucky,IND,industrial,4726,6.85,157.85826,2304.1589,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,KY,Kentucky,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,KY,Kentucky,RES,residential,2019404,12.6,399.7795,3172.21653,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,KY,Kentucky,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,LA,Louisiana,ALL,all sectors,2481921,8.31,727.04582,8753.1069,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,LA,Louisiana,COM,commercial,303251,10.43,199.10618,1909.63828,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,LA,Louisiana,IND,industrial,17754,5.11,194.9021,3815.76823,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,LA,Louisiana,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,LA,Louisiana,RES,residential,2160915,11,332.95389,3026.97159,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,LA,Louisiana,TRA,transportation,1,11.48,.08365,.72881,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MA,Massachusetts,ALL,all sectors,3364351,25.65,1205.13248,4698.67863,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MA,Massachusetts,COM,commercial,444035,23.06,496.68398,2154.29904,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MA,Massachusetts,IND,industrial,9355,19.73,97.44568,493.96172,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MA,Massachusetts,RES,residential,2910959,30.08,607.73679,2020.38798,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MA,Massachusetts,TRA,transportation,2,10.88,3.26603,30.0299,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MAT,Middle Atlantic,ALL,all sectors,19219700,17.19,5758.53384,33506.92565,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
